wikidata_id	count
Người Mỹ gốc Hmông	1
foreigner	1
expatriate	1
Koreans	1
schoolchild	1
African Americans	1
jurisdiction	1
Creole	1
emigrant	1
German noble family	1
heir	1
African mythology	1
ice mummy	1
Treveri	1
library	1
album	1
prophet of Islam	1
mechanical engineering	1
Embarrassment	1
Ahis	1
אמוראים	1
uxoricide	1
Caucasian	1
Sfatul Țării	1
cultural property	1
educationalist	1
rootkit	1
overweight	1
destroyer escort	1
Auliya	1
portrait	1
group of creatures in Norse mythology	1
siege	1
hostage crisis	1
Americans in Germany	1
time traveller	1
Seerah writers	1
television program	1
representative	1
American Society of Mechanical Engineers	1
sculpture	1
général de corps d'armée	1
anthropologist	1
national hero	1
Vietnamese people	1
cypherpunk	1
conglomerate	1
Polscy zesłańcy w Imperium Rosyjskim	1
Rådet for Etniske Minoriteter	1
group of authors	1
municipal district	1
Budîst	1
associate professor	1
foundation	1
Italians	1
date of death	1
date of birth	1
legendary hero	1
person with disabilities	1
cenotaph	1
online streamer	1
conceptual character	1
most recent common ancestor	1
Sikh guru	1
Tabi‘ al-Tabi‘in	1
legal name	1
Hominin fossil	1
familicide	1
aircraft family	1
cruise line	1
Mostefa Benboulaïd	1
Dalit	1
extraterrestrial	1
urban legend	1
Mashpia	1
Christian organization	1
Sianno	1
Hindu saints	1
Lendmann	1
historical country	1
molecular biology	1
thought leader	1
Spanish folklore	1
Officers of the Principality of Antioch	1
social philosophy	1
image	1
form of Parvati	1
smoker	1
actor	1
coin dealer	1
executive	1
major-général	1
civil engineer	1
academic journal article	1
education	1
Women in engineering	1
skeleton	1
Gourlez de La Motte	1
wokou	1
artistic duo	1
comics	1
artistic theme	1
cast member	1
religious character	1
Venerable	1
царь Израиля	1
Ausbildungsberuf	1
motif	1
automobile manufacturer	1
Vilains Bonshommes	1
Benedictines	1
newspaper	1
A personality scale of manifest anxiety.	1
side project	1
acharya	1
victim of miscarriage of justice	1
Hochzeit	1
Book of Mormon witnesses	1
Vietnam veteran	1
Portuguese noble title	1
P.E.N. Centar Bosne i Hercegovine	1
food	1
student competition	1
Least Concern	1
open-access publisher	1
list of German people	1
female beauty pageant	1
general partner	1
Ger	1
department	1
archive	1
religious name	1
torture victim	1
medical library	1
theology	1
religion founder	1
Salvator Mundi	1
God in Christianity	1
bibliophile	1
Patriarchs	1
lectotype	1
vacuum	1
creator deity	1
mythological serpent	1
mother goddess	1
Apostle	1
father	1
chief marketing officer	1
name at birth	1
statue	1
construction client	1
Columna minera de Riotinto	1
huey tlatoani	1
Imagen	1
female given name	1
Arabs	1
police	1
spirit	1
uncontacted peoples	1
Chinese temple	1
Judika	1
demy	1
Indian Administrative Service	1
theft	1
web series	1
Monsieur	1
Head of Statistics Indonesia	1
folkloristics	1
couple	1
demon	1
princess	1
information list	1
男爵	1
pasindhèn	1
Huguenot	1
freak	1
government	1
victim of the Nazi regime	1
software piracy	1
Josef Kupper	1
Novial	1
Fürst	1
international organization	1
manuscript	1
video game publisher	1
boy band	1
pop group	1
elderly people	1
archaeologist	1
caricaturist	1
death	1
list of Eastern Orthodox saints	1
cyborg	1
river	1
Wikipedia article covering multiple topics	1
Category:East German spies	1
president of Trentino-South Tyrol	1
antecessor	1
revenue stamps by country or jurisdiction	1
Nayanar	1
werewolf	1
fraud	1
Haredi Judaism	1
Jerusalemite Amora	1
火星人	1
production company	1
谣曲	1
crime	1
Народний фронт	1
concrete poet	1
internetes mém	1
archaeological excavation	1
American football team	1
遗物	1
Burmese Wikipedia	1
municipal prefecture	1
Wikidata sandbox	1
civic technology	1
review article	1
curator	1
Osun State	1
Celtic Goddesses	1
brigadier general	1
member of the State Duma	1
community medicine	1
female human	1
Nigerian	1
Fellow of the American Institute of Architects	1
ancestor	1
record producer	1
Jesuit	1
philosopher	1
myroblyte saint	1
caliph	1
multiple-use name	1
Schusswaffengebrauch	1
critically endangered language	1
National Hero of Peru	1
corporation	1
stop-motion animated film	1
mausoleum	1
Kathanar	1
automobile model	1
shikona	1
narrative entity	1
Wikimedia internal item	1
hieromartyr	1
origami	1
Incor group	1
Catacomb saints	1
Eastern Orthodox bishop	1
